wh_id,reltyp_id,cnt_zone_id,rel_cmd,extra_args,pricod,grp_cols,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"2","A",-10000,"CREATE WORK","",0,"","20180730083433","20180730083433","938673","938673"
"2","AA",-10000,"CREATE WORK","",0,"","20180730083433","20180730083433","938673","938673"
"2","AC",-10000,"CREATE WORK","",0,"","20180730083433","20180730083433","938673","938673"
"2","AD",-10000,"CREATE WORK","",0,"","20180730083433","20180730083433","938673","938673"
"2","C",-10000,"CREATE WORK","",0,"","20180730083433","20180730083433","938673","938673"
"2","CB",-10000,"CREATE WORK","",0,"","20180730083433","20180730083433","938673","938673"
"2","CD",-10000,"CREATE WORK","",0,"","20180730083433","20180730083433","938673","938673"
"2","CP",-10000,"CREATE WORK","",0,"","20180730083433","20180730083433","938673","938673"
"2","MAN",-10000,"NOOP","",0,"cntwrk.cntbat,cntwrk.stoloc,cntwrk.wh_id","20180730083433","20180730083433","938673","938673"
"2","PHY",-10000,"CREATE WORK","",0,"","20180730083433","20180730083433","938673","938673"
"2","R",-10000,"CREATE WORK","",0,"","20180730083433","20180730083433","938673","938673"
"2","Z",-10000,"CREATE WORK","",0,"","20180730083433","20180730083433","938673","938673"
