esc_seq,oprcod,wh_id_tmpl,ordtyp,ship_date_win,wrk_esc_pri,ins_dt,ins_user_id,moddte,mod_usr_id
"0000001","LPCK","1","----",150,90,"20210308132649","","20210308132649","938673"
"0000002","LPCK","1","31",30,100,"20210308132649","","20210308132649","938673"
"0000003","LPCK","1","----",75,80,"20210308132649","","20210308132649","938673"
"0000004","LPCK","1","34",60,60,"20210308132649","","20210308132649","938673"
"0000005","LPCK","1","34",45,50,"20210308132649","","20210308132649","938673"
"0000006","LPCK","1","----",45,70,"20210308132649","","20210308132649","938673"
"0000029","LPCK","1","----",35,69,"20220221132011","","20220221132011","939370"
"0000030","LPCK","1","----",25,68,"20220221132011","","20220221132011","939370"
"0000031","LPCK","1","----",15,67,"20220221132011","","20220221132011","939370"
"0000032","LPCK","1","----",5,66,"20220221132011","","20220221132011","939370"
"0000033","LPCK","1","----",1,65,"20220221132011","","20220221132011","939370"
"0000013","PALMOV","1","31",30,91,"20210412171852","","20210412171852","939370"
"0000014","PALMOV","1","----",150,80,"20210412171852","","20210412171852","939370"
"0000015","PALMOV","1","34",60,50,"20210412171852","","20210412171852","939370"
"0000016","PALMOV","1","----",75,71,"20210412171852","","20210412171852","939370"
"0000017","PALMOV","1","----",45,70,"20210412171852","","20220221131322","939370"
"0000018","PALMOV","1","34",45,40,"20210412171852","","20210412171852","939370"
"0000024","PALMOV","1","----",35,69,"20220221131322","","20220221131322","939370"
"0000025","PALMOV","1","----",25,68,"20220221131322","","20220221131322","939370"
"0000026","PALMOV","1","----",15,67,"20220221131322","","20220221131322","939370"
"0000027","PALMOV","1","----",5,66,"20220221131322","","20220221131322","939370"
"0000028","PALMOV","1","----",1,65,"20220221131322","","20220221131322","939370"
"0000007","PCK","1","31",30,91,"20210308132649","","20210308132649","938673"
"0000008","PCK","1","----",150,80,"20210308132649","","20210308132649","938673"
"0000009","PCK","1","34",60,50,"20210308132649","","20210308132649","938673"
"0000010","PCK","1","----",75,71,"20210308132649","","20210308132649","938673"
"0000011","PCK","1","----",45,70,"20210308132649","","20220221131129","939370"
"0000012","PCK","1","34",45,40,"20210308132649","","20210308132649","938673"
"0000019","PCK","1","----",35,69,"20220221131129","","20220221131129","939370"
"0000020","PCK","1","----",25,68,"20220221131129","","20220221131129","939370"
"0000021","PCK","1","----",15,67,"20220221131129","","20220221131129","939370"
"0000022","PCK","1","----",5,66,"20220221131129","","20220221131129","939370"
"0000023","PCK","1","----",1,65,"20220221131129","","20220221131129","939370"
