wrk_zone_id,wrkzon,wh_id,bldg_id,wrkare,maxdev,oosflg,trvseq,prithr,maxprithr,pck_exp_are,moddte,mod_usr_id,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
10000,"99","3","B1","WLOGICAL",0,0,0,0,0,"","20181210102459","SUPER",1,"20181210102459","20181210102459","SUPER","SUPER",0
10001,"WZ-1-001","3","B1","WA-1-001",99,0,10,15,30,"","20200611162957","939161",2,"20181212132643","20200611162957","940028","939161",0
10002,"WZ-2-L201","3","B1","WA-2-001",99,0,10,15,30,"","20200611162957","939161",2,"20181212132732","20200611162957","940028","939161",0
10005,"WZ-2-D001","3","B1","WA-2-006",99,0,10,15,30,"","20220414140149","939370",2,"20200921162957","20220414140149","939370","939370",0
10006,"WZ-2-E001","3","B1","WA-2-002",99,0,10,15,30,"","20200921162957","939370",1,"20200921162957","20200921162957","939370","939370",0
10007,"WZ-3-L6","3","B1","WA-3-001",99,0,10,15,30,"","20200921162957","939370",1,"20200921162957","20200921162957","939370","939370",0
10008,"WZ-4-X001","3","B1","WA-4-001",99,0,10,0,0,"","20210622140102","939161",1,"20210622140102","20210622140102","939161","939161",0
10009,"WZ-2-A001","3","B1","WA-2-003",99,0,10,15,30,"","20210826100000","939161",1,"20210826100000","20210826100000","939161","939161",0
10010,"WZ-2-B001","3","B1","WA-2-004",99,0,10,15,30,"","20220405180728","939370",2,"20220405180708","20220405180728","939370","939370",0
10011,"WZ-2-B002","3","B1","WA-2-005",99,0,10,15,30,"","20220406153724","939370",1,"20220406153724","20220406153724","939370","939370",0
10012,"WZ-2-D002","3","B1","WA-2-007",99,0,10,15,30,"","20220414145503","939370",1,"20220414145503","20220414145503","939370","939370",0
10014,"WZ-2-P001","3","B1","WA-2-009",99,0,10,15,30,"","20221005141610","939370",1,"20221005141610","20221005141610","939370","939370",0
10015,"WZ-2-P002","3","B1","WA-2-012",99,0,10,15,30,"","20221005141610","939370",1,"20221005141610","20221005141610","939370","939370",0
10016,"WZ-2-R001","3","B1","WA-2-010",99,0,10,15,30,"","20221005141610","939370",1,"20221005141610","20221005141610","939370","939370",0
10017,"WZ-2-R002","3","B1","WA-2-011",99,0,10,15,30,"","20221005141610","939370",1,"20221005141610","20221005141610","939370","939370",0
10018,"WZ-2-C001","3","B1","WA-2-008",99,0,10,15,30,"","20221005141610","939370",1,"20221005141610","20221005141610","939370","939370",0
10019,"WZ-2-A002","3","B1","WA-2-013",99,0,10,15,30,"","20231002161628","939370",1,"20231002161628","20231002161628","939370","939370",0
10020,"WZ-2-C002","3","B1","WA-2-014",99,0,10,15,30,"","20231004134346","939370",1,"20231004134346","20231004134346","939370","939370",0
10021,"WZ-2-E002","3","B1","WA-2-015",99,0,10,15,30,"","20231004150910","939370",1,"20231004150910","20231004150910","939370","939370",0
