colnam,colval,locale_id,cust_lvl,mls_text,short_dsc,grp_nam
"dda_id","ALCASSETGRPMNT-REMOVE","US_ENGLISH",0,"Remove Allocation Handling Unit Group","","dcs_data"
"dda_id","ALCASSETTYPES","DUTCH_HOLLAND",0,"Typen verwerkingseenheden","","dcs_data"
"dda_id","ALCASSETTYPES","US_ENGLISH",0,"Handling Unit Types","","dcs_data"
"dda_id","ALCASSETTYPES-CREATE","DUTCH_HOLLAND",0,"Activumtype koppelen aan een verwerkingseenheidgroep voor toewijzing","","dcs_data"
"dda_id","ALCASSETTYPES-CREATE","US_ENGLISH",0,"Associate Asset Type with an Allocation Handling Unit Group","","dcs_data"
"dda_id","ALCASSETTYPES-REMOVE","DUTCH_HOLLAND",0,"Activumtype ontkoppelen van de verwerkingseenheidgroep voor toewijzing","","dcs_data"
"dda_id","ALCASSETTYPES-REMOVE","US_ENGLISH",0,"Disassociate the Asset Type from the Allocation Handling Unit Group","","dcs_data"
"dda_id","ALLOCSUMMARYDSP","DUTCH_HOLLAND",0,"Weergave toewijzingsoverzicht","","dcs_service"
"dda_id","ALLOCSUMMARYDSP","US_ENGLISH",0,"Allocation Summary Display","","dcs_service"
"dda_id","ASCTMSTRCPT","DUTCH_HOLLAND",0,"Toegewezen binnenkomende verzendingen","","dcs_data"
"dda_id","ASCTMSTRCPT","US_ENGLISH",0,"Assigned Inbound Shipments","","dcs_data"
"dda_id","ASCTMSTRCPT-CREATE","DUTCH_HOLLAND",0,"Binnenkomende verzending toewijzen","","dcs_data"
"dda_id","ASCTMSTRCPT-CREATE","US_ENGLISH",0,"Assign Inbound Shipment","","dcs_data"
"dda_id","ASGLOCDSP","DUTCH_HOLLAND",0,"Weergave toegewezen locaties","","dcs_service"
"dda_id","ASGLOCDSP","US_ENGLISH",0,"Assigned Locations Display","","dcs_service"
"dda_id","ASSETCARTONMNT","DUTCH_HOLLAND",0,"Kartonverpakkingen verwerkingseenheid","","dcs_data"
"dda_id","ASSETCARTONMNT","US_ENGLISH",0,"Handling Unit Cartons","","dcs_data"
"dda_id","ASSETCARTONMNT-CREATE","DUTCH_HOLLAND",0,"Kartonverpakking verwerkingseenheid maken","","dcs_data"
"dda_id","ASSETCARTONMNT-CREATE","US_ENGLISH",0,"Create Handling Unit Carton","","dcs_data"
"dda_id","ASSETCARTONMNT-REMOVE","DUTCH_HOLLAND",0,"Kartonverpakking verwerkingseenheid verwijderen","","dcs_data"
"dda_id","ASSETCARTONMNT-REMOVE","US_ENGLISH",0,"Remove Handling Unit Carton","","dcs_data"
"dda_id","ASSETDSPWEB","DUTCH_HOLLAND",0,"Weergave verwerkingseenheid","","dcs_data"
"dda_id","ASSETDSPWEB","US_ENGLISH",0,"Handling Unit Display","","dcs_data"
"dda_id","ASSETMAPDTLMNT","DUTCH_HOLLAND",0,"Onderhoud kaartdetail verwerkingseenheid","","dcs_data"
"dda_id","ASSETMAPDTLMNT","US_ENGLISH",0,"Handling Unit Map Detail Maintenance","","dcs_data"
"dda_id","ASSETMAPDTLMNT-CHANGE","DUTCH_HOLLAND",0,"Details verwerkingseenheidkaart wijzigen","","dcs_data"
"dda_id","ASSETMAPDTLMNT-CHANGE","US_ENGLISH",0,"Change Handling Unit Map Detail","","dcs_data"
"dda_id","ASSETMAPDTLMNT-CREATE","DUTCH_HOLLAND",0,"Details verwerkingseenheidkaart maken","","dcs_data"
"dda_id","ASSETMAPDTLMNT-CREATE","US_ENGLISH",0,"Create Handling Unit Map Detail","","dcs_data"
"dda_id","ASSETMAPDTLMNT-REMOVE","DUTCH_HOLLAND",0,"Details verwerkingseenheidkaart verwijderen","","dcs_data"
"dda_id","ASSETMAPDTLMNT-REMOVE","US_ENGLISH",0,"Delete Handling Unit Map Detail","","dcs_data"
"dda_id","ASSETMAPMEDIAMNT","DUTCH_HOLLAND",0,"Onderhoud kaartmedium verwerkingseenheid","","dcs_data"
"dda_id","ASSETMAPMEDIAMNT","US_ENGLISH",0,"Handling Unit Map Media Maintenance","","dcs_data"
"dda_id","ASSETMAPMEDIAMNT-CHANGE","DUTCH_HOLLAND",0,"Media verwerkingseenheidkaart wijzigen","","dcs_data"
"dda_id","ASSETMAPMEDIAMNT-CHANGE","US_ENGLISH",0,"Change Handling Unit Map Media","","dcs_data"
"dda_id","ASSETMAPMEDIAMNT-CREATE","DUTCH_HOLLAND",0,"Media verwerkingseenheidkaart maken","","dcs_data"
"dda_id","ASSETMAPMEDIAMNT-CREATE","US_ENGLISH",0,"Create Handling Unit Map Media","","dcs_data"
"dda_id","ASSETMAPMEDIAMNT-REMOVE","DUTCH_HOLLAND",0,"Media verwerkingseenheidkaart verwijderen","","dcs_data"
"dda_id","ASSETMAPMEDIAMNT-REMOVE","US_ENGLISH",0,"Remove Handling Unit Map Media","","dcs_data"
"dda_id","ASSETMAPMNT","DUTCH_HOLLAND",0,"Onderhoud kaart verwerkingseenheid","","dcs_data"
"dda_id","ASSETMAPMNT","US_ENGLISH",0,"Handling Unit Map Maintenance","","dcs_data"
"dda_id","ASSETMAPMNT-CHANGE","DUTCH_HOLLAND",0,"Verwerkingseenheidkaart wijzigen","","dcs_data"
"dda_id","ASSETMAPMNT-CHANGE","US_ENGLISH",0,"Change Handling Unit Map","","dcs_data"
"dda_id","ASSETMAPMNT-CREATE","DUTCH_HOLLAND",0,"Verwerkingseenheidkaart maken","","dcs_data"
"dda_id","ASSETMAPMNT-CREATE","US_ENGLISH",0,"Create Handling Unit Map","","dcs_data"
"dda_id","ASSETMAPMNT-REMOVE","DUTCH_HOLLAND",0,"Verwerkingseenheidkaart verwijderen","","dcs_data"
"dda_id","ASSETMAPMNT-REMOVE","US_ENGLISH",0,"Delete Handling Unit Map","","dcs_data"
"dda_id","ASSETMOVHIS","DUTCH_HOLLAND",0,"Historie verplaatsing verwerkingseenheden","","dcs_data"
"dda_id","ASSETMOVHIS","US_ENGLISH",0,"Handling Unit Movement History","","dcs_data"
"dda_id","ASSETSLOTMNT-CHANGE","DUTCH_HOLLAND",0,"Slot verwerkingseenheid aanpassen","","dcs_data"
"dda_id","ASSETSLOTMNT-CHANGE","US_ENGLISH",0,"Modify Handling Unit Slot","","dcs_data"
"dda_id","ASSETSLOTMNT-CREATE","DUTCH_HOLLAND",0,"Nieuw slot verwerkingseenheid","","dcs_data"
"dda_id","ASSETSLOTMNT-CREATE","US_ENGLISH",0,"New Handling Unit Slot","","dcs_data"
"dda_id","ASSETSLOTMNT-REMOVE","DUTCH_HOLLAND",0,"Slot verwerkingseenheid verwijderen","","dcs_data"
"dda_id","ASSETSLOTMNT-REMOVE","US_ENGLISH",0,"Delete Handling Unit Slot","","dcs_data"
"dda_id","ASSETTYPFEAT","DUTCH_HOLLAND",0,"Functies","","dcs_data"
"dda_id","ASSETTYPFEAT","US_ENGLISH",0,"Features","","dcs_data"
"dda_id","ASSETTYPFEAT-CHANGE","DUTCH_HOLLAND",0,"Functie type verwerkingseenheid wijzigen","","dcs_data"
"dda_id","ASSETTYPFEAT-CHANGE","US_ENGLISH",0,"Change Handling Unit Type Feature","","dcs_data"
"dda_id","ASSETTYPFEAT-CREATE","DUTCH_HOLLAND",0,"Functie type verwerkingseenheid maken","","dcs_data"
"dda_id","ASSETTYPFEAT-CREATE","US_ENGLISH",0,"Create Handling Unit Type Feature","","dcs_data"
"dda_id","ASSETTYPFEAT-REMOVE","DUTCH_HOLLAND",0,"Functie type verwerkingseenheid verwijderen","","dcs_data"
"dda_id","ASSETTYPFEAT-REMOVE","US_ENGLISH",0,"Remove Handling Unit Type Feature","","dcs_data"
"dda_id","AUDIT-COUNT-LOC-DTLS","DUTCH_HOLLAND",0,"Weergave telling","","dcs_data"
"dda_id","AUDIT-COUNT-LOC-DTLS","US_ENGLISH",0,"Count Display","","dcs_data"
"dda_id","AUTH-DSP","DUTCH_HOLLAND",0,"Autorisatie weergeven","","mcs_data"
"dda_id","AUTH-DSP","US_ENGLISH",0,"Authorization Display","","mcs_data"
"dda_id","AVARULCFGARGMNT","DUTCH_HOLLAND",0,"Opdrachtargumenten","","sal_data"
"dda_id","AVARULCFGARGMNT","US_ENGLISH",0,"Command Argments","","sal_data"
"dda_id","AVARULCFGMNT","DUTCH_HOLLAND",0,"Onderhoud opdrachtconfiguratie","","sal_data"
"dda_id","AVARULCFGMNT","US_ENGLISH",0,"Command Configuration Maintenance","","sal_data"
"dda_id","BatchOps","DUTCH_HOLLAND",0,"Batchbewerkingen","","sal_data"
"dda_id","BatchOps","US_ENGLISH",0,"Batch Operations","","sal_data"
"dda_id","BOM-BUILD-INFO","DUTCH_HOLLAND",0,"Gegevens stuklijstsamenstelling","","dcs_data"
"dda_id","BOM-BUILD-INFO","US_ENGLISH",0,"BOM Build Information","","dcs_data"
"dda_id","CAN-PICK-INFO","DUTCH_HOLLAND",0,"Weergave geannuleerde selecties","","dcs_data"
"dda_id","CAN-PICK-INFO","US_ENGLISH",0,"Cancelled Picks Display","","dcs_data"
"dda_id","CarInsMnt","DUTCH_HOLLAND",0,"Onderhoud verzekering transporteur","","dcs_data"
"dda_id","CarInsMnt","US_ENGLISH",0,"Carrier Insurance Maintenance","","dcs_data"
"dda_id","CarInsMntChange","DUTCH_HOLLAND",0,"Verzekering transporteur wijzigen","","dcs_data"
"dda_id","CarInsMntChange","US_ENGLISH",0,"Change Carrier Insurance","","dcs_data"
