wh_id,ordtyp,bulk_pck_flg,allow_shp_res_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,gs1_ordtyp,pcl_val_flg,wm_default_flg,shp_ctnrte_flg
"7","10",1,0,"20200128103618","20200128103618","939370","939370","",0,0,0
"7","11",1,0,"20200128103618","20200128103618","939370","939370","",0,0,0
"7","20",1,0,"20200128103618","20200128103618","939370","939370","",0,0,0
"7","21",1,0,"20200128103618","20200128103618","939370","939370","",0,0,0
"7","30",1,0,"20200128103618","20200128103618","939370","939370","",0,0,0
"7","31",1,0,"20200403105222","20200403105222","929161","939161","",0,0,0
"7","32",1,0,"20200403105222","20200403105222","938673","938673","",0,0,0
"7","33",1,0,"20200403105222","20200403105222","938673","938673","",0,0,0
"7","34",1,0,"20200403105222","20200403105222","938673","938673","",0,0,0
"7","40",1,0,"20200128103618","20200128103618","939370","939370","",0,0,0
"7","50",1,0,"20200128103618","20200128103618","939370","939370","",0,0,0
"7","60",1,0,"20200403105222","20200403105222","938673","938673","",0,0,0
