sto_config_id,wh_id,srtseq,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"000004","2",2,"20181031224607","20191120120254","939370","940028"
"000010","2",1,"20181113085741","20191120104544","940028","940028"
