serv_id,serv_ins_id,seqnum,serv_ins_typ,stop_serv_flg,moddte,mod_usr_id
"SAFETY-CHK-DEFERRED","WHEL-CHOK-INPL",1,"YESNO",0,"",""
"SAFETY-CHK-IMMEDIATE","CEIL-WAL-FLO-OK",4,"YESNO",0,"",""
"SAFETY-CHK-IMMEDIATE","IS-TRLR-CLN",3,"YESNO",0,"",""
"SAFETY-CHK-IMMEDIATE","NOS-STD-INPL",2,"YESNO",0,"",""
"SAFETY-CHK-IMMEDIATE","WHEL-CHOK-INPL",1,"YESNO",0,"",""
"SET-AXLE-POSITIONS","SET-FRONT-AXLE-POS",1,"YESNO",0,"",""
"SET-AXLE-POSITIONS","SET-REAR-AXLE-POS",2,"YESNO",0,"",""
"SET-OPTIMAL-STG-LANE","SET-OPTIMAL-STG-LANE",0,"NOCONFRM",0,"",""
"SHRINK-WRAP","SHRINK-WRAP-INS",1,"ACKNOWL",0,"",""
"SKIP-PICK","SKIP-PICK",1,"NOCONFRM",0,"",""
"SPCRRMVL","SPCRRMVL",0,"NOCONFRM",0,"",""
"STRTCHWRAP","STRTCHWRAP",0,"NOCONFRM",0,"",""
"TAG-PALLET","TAG-PALLET",1,"ACKNOWL",0,"",""
"TRLR_AT_DOOR","TRLR_AT_DOOR",0,"NOCONFRM",0,"",""
"TRLR-PAL-SLOT","RPT-PAL-SLOT",1,"NOCONFRM",0,"",""
"USR-AUTO-LOAD-SHP","INS000000003",0,"NOCONFRM",0,"20181004092017","940028"
"USR-COPY-HOLDNUM","INS000000009",0,"NOCONFRM",0,"20181113112944","940028"
"USR-CRT-STOPS-LOADS","INS000000002",0,"NOCONFRM",0,"20181004091852","940028"
"USR-PRINT-PACKSLIP","INS000000020",0,"NOCONFRM",0,"20200422162014","938673"
"USR-RES-NEXT-STEP","INS000000024",0,"NOCONFRM",0,"20221207145430","938673"
"USR-SEND-ASSET-IF","INS000000014",0,"NOCONFRM",0,"20190104145425","939370"
"USR-SEND-HOLD-IF","INS000000013",0,"NOCONFRM",0,"20181224111658","939370"
"USR-SEND-LODATT-IF","INS000000015",0,"NOCONFRM",0,"20190111004353","939370"
"USR-SEND-RELABEL-IF","INS000000012",0,"NOCONFRM",0,"20181221183142","939370"
"USR-SEND-STATUS","INS000000023",0,"NOCONFRM",0,"20200423123201","938673"
"USR-VAS_LPN_PACK","INS000000028",0,"YESNO",0,"20230210154236","938673"
"USR-VAS_LPN_PICK","INS000000029",0,"YESNO",0,"20230210154302","938673"
"USR-VAS_PACK_CNFRM","INS000000027",0,"YESNO",0,"20230210154148","938673"
"USR-VAS_PICK_CNFRM","INS000000026",0,"YESNO",0,"20230210153044","938673"
"USR-WO_PROD_LPN_PACK","INS000000031",0,"YESNO",0,"20230315095651","938673"
"USR-WO_PROD_VAS_CFRM","INS000000030",0,"YESNO",0,"20230315095730","938673"
"USR-WO_PROD_VAS_ONLY","INS000000025",0,"NOCONFRM",0,"20230714161035","938673"
