pck_mthd_id,pck_mthd_nam,wh_id,list_flg,ctn_flg,skip_pick_valdt,inline_rpl_flg,rsv_pck_rel,spcfc_cs_flg,mix_cs_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
-50013,"StageTransfers","1",0,0,"DEF_DISABLE",0,99,0,0,"20181023123941","20181023123941","SUPER","SUPER"
-50012,"StockTransfers","1",0,0,"DEF_DISABLE",0,99,0,0,"20181023123941","20181023123941","SUPER","SUPER"
-50011,"StockTransfers","1",0,0,"DEF_DISABLE",0,99,0,0,"20181023123941","20181023123941","SUPER","SUPER"
-50010,"StockTransfers","1",0,0,"DEF_DISABLE",0,99,0,0,"20181023123941","20181023123941","SUPER","SUPER"
-50009,"CrossDocking-D","1",0,0,"DEF_DISABLE",0,99,0,0,"20181023123941","20181023123941","SUPER","SUPER"
-50008,"CrossDocking-S","1",0,0,"DEF_DISABLE",0,99,0,0,"20181023123941","20181023123941","SUPER","SUPER"
-50007,"CrossDocking-L","1",0,0,"DEF_DISABLE",0,99,0,0,"20181023123941","20181023123941","SUPER","SUPER"
10000,"PALLETPICK","1",0,0,"DEF_NO_PROMPT",0,0,0,0,"20181023123941","20230221180431","SUPER","939370"
10001,"LISTPICK","1",1,0,"DEF_NO_PROMPT",0,0,0,0,"20181023123941","20230221180438","SUPER","939370"
10002,"Replishment","1",0,0,"DEF_DISABLE",0,99,0,0,"20181023123941","20181023123941","SUPER","SUPER"
10003,"CartonPick","1",0,1,"DEF_DISABLE",0,99,0,0,"20181023123941","20181023123941","SUPER","SUPER"
10004,"CasePick","1",0,0,"DEF_DISABLE",0,99,0,0,"20181023123941","20181023123941","SUPER","SUPER"
10005,"ReplishmentSplitPick","1",0,0,"DEF_DISABLE",0,99,0,0,"20181023123941","20181023123941","SUPER","SUPER"
10006,"PALLETPICK_CC","1",0,0,"DEF_NO_PROMPT",0,0,0,0,"20230309163629","20230310122320","939370","939370"
10007,"PALLETPICK_WO","1",0,0,"DEF_NO_PROMPT",0,0,0,0,"20230419134707","20230419134843","938673","938673"
10008,"LISTPICK_WO","1",1,0,"DEF_NO_PROMPT",0,0,0,0,"20230419000000","20230419000000","938673","938673"
