mov_zone_id,mov_zone_cod,wh_id,bldg_id,clr_dstloc_flg,split_trn,lbl_on_split,ovrpck_rpl_flg,cap_fill_flg,def_rplcfg_invsts,def_rplcfg_maxunt,def_rplcfg_minunt,def_rplcfg_pctflg,dyn_slot_flg,recalc_putaway,max_mhu_deposit,dstr_excp_loc,bto_kit_dep_flg,rcv_pltbld_flg,dstr_audit,auto_close_flg,prompt_for_part_distr,rdtflg,dyn_rplcfg_flg,auto_cancel_pick,mix_on_unlock_flg,alloc_max_uom_rpl_flg,autocls_ship_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,qty_ver_only_flg,pre_stage_flg,thresh_split_flg,rpl_split_disp_cas_flg
10000,"RDT-B1","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,1,1,0,0,0,0,"20200114141103","20200114141103","SUPER","SUPER",0,0,0,0
10001,"ADJS","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200114141103","20200114141103","SUPER","SUPER",0,0,0,0
10002,"CADJ","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200114141104","20200114141104","SUPER","SUPER",0,0,0,0
10003,"EXPR","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200114141104","20200114141104","SUPER","SUPER",0,0,0,0
10004,"WEXP","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200114141104","20200114141104","SUPER","SUPER",0,0,0,0
10005,"SACO","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200114141104","20200114141104","SUPER","SUPER",0,0,0,0
10006,"SADJ","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200114141104","20200114141104","SUPER","SUPER",0,0,0,0
10007,"SXFR","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200114141104","20200114141104","SUPER","SUPER",0,0,0,0
10008,"DKIT","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200114141104","20200114141104","SUPER","SUPER",0,0,0,0
10009,"DADJ","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200114141104","20200114141104","SUPER","SUPER",0,0,0,0
10010,"DSPCH","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200114141104","20200114141104","SUPER","SUPER",0,0,0,0
10011,"SHIP","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200114141104","20200114141104","SUPER","SUPER",0,0,0,0
10012,"STOTRLR","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200114141104","20200114141104","SUPER","SUPER",0,0,0,0
10013,"XDDR","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200114141104","20200114141104","SUPER","SUPER",0,0,0,0
10014,"XDCK","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200114141104","20200114141104","SUPER","SUPER",0,0,0,0
10015,"WRKS","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200114141104","20200114141104","SUPER","SUPER",0,0,0,0
10016,"PRESTOPRI","7","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20200226134748","20200226134748","939370","939370",0,0,0,0
10017,"PREDEL","7","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20200529113909","20200529114409","940409","940409",0,0,0,0
10026,"G001-M-01-S","7","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20200703110126","20200703110335","939370","939370",0,0,0,0
10046,"PRESTO","7","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20210520163131","20210520171431","939370","939370",0,0,0,0
10079,"C001-M-01-I","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200209172946","20200227144600","939370","939161",0,0,0,0
10080,"E003-M-01-I","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200209172946","20200227144612","939370","939161",0,0,0,0
10081,"G001-M-01-I","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200209172946","20200227144621","939370","939161",0,0,0,0
10082,"H001-M-01-I","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200209172946","20200227144631","939370","939161",0,0,0,0
10083,"N001-M-01-I","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200209172946","20200227144639","939370","939161",0,0,0,0
10094,"C001-M-01-EV","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200209172946","20200227144446","939370","939161",0,0,0,0
10095,"E003-M-01-EV","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200209172946","20200227144501","939370","939161",0,0,0,0
10096,"G001-M-01-EV","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200209172947","20200227144513","939370","939161",0,0,0,0
10097,"H001-M-01-EV","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200209172947","20200227144524","939370","939161",0,0,0,0
10098,"N001-M-01-EV","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200209172947","20200227144538","939370","939161",0,0,0,0
10099,"C001-M-01-ED","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200209172947","20200227144343","939370","939161",0,0,0,0
10100,"E003-M-01-ED","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200209172947","20200227144357","939370","939161",0,0,0,0
10101,"G001-M-01-ED","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200209172947","20200227144406","939370","939161",0,0,0,0
10102,"H001-M-01-ED","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200209172947","20200227144426","939370","939161",0,0,0,0
10103,"N001-M-01-ED","7","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20200209172947","20200227144415","939370","939161",0,0,0,0
10104,"C200-M-01-U","7","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,"20200409093817","20200409110857","938673","938673",0,0,0,0
10106,"D200-M-01-U","7","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,"20200409111806","20200409111806","938673","938673",0,0,0,0
10107,"E200-M-01-U","7","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,"20200409112525","20200409112525","938673","938673",0,0,0,0
10108,"F200-M-01-U","7","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,"20200409112635","20200410152733","938673","938673",0,0,0,0
10109,"G200-M-01-U","7","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,"20200409112732","20200409112732","938673","938673",0,0,0,0
10110,"H200-M-01-U","7","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,"20200409112839","20200409112839","938673","938673",0,0,0,0
10111,"J200-M-01-U","7","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,"20200409113024","20200409113024","938673","938673",0,0,0,0
10112,"K201-M-01-U","7","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,"20200409113248","20200409113248","938673","938673",0,0,0,0
10113,"K202-M-01-U","7","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,"20200409113344","20200409113344","938673","938673",0,0,0,0
10114,"K203-M-01-U","7","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,"20200409113513","20200409113513","938673","938673",0,0,0,0
10115,"L200-M-01-U","7","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,"20200409113611","20200409113611","938673","938673",0,0,0,0
10116,"M200-M-01-U","7","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,"20200409113814","20200409113814","938673","938673",0,0,0,0
10117,"N201-M-01-U","7","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,"20200409114122","20200409114122","938673","938673",0,0,0,0
10118,"N202-M-01-U","7","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,"20200409114226","20200409114226","938673","938673",0,0,0,0
10119,"P200-M-01-U","7","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,"20200409114612","20200409114612","938673","938673",0,0,0,0
10120,"E100-M-01-U","7","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20200410151409","20200417134144","938673","938673",0,0,0,0
10121,"H100-M-01-U","7","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20200410151603","20200417134159","938673","938673",0,0,0,0
10122,"D001-M-01-O","7","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20200410154834","20200410154834","938673","938673",0,0,0,0
10123,"E001-M-01-O","7","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20200417161044","20200417161044","938673","938673",0,0,0,0
10124,"F001-M-01-O","7","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20200417161214","20200417161214","938673","938673",0,0,0,0
10125,"H200-M-01-EU","7","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20200420153320","20200420153320","938673","938673",0,0,0,0
10126,"E100-M-01-EU","7","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20201027151409","20201027151409","939161","939161",0,0,0,0
10127,"E100-M-02-U","7","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20210114151409","20210114151409","938673","938673",0,0,0,0
