sto_config_id,wh_id,srtseq,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"000004","1",1,"20190307073945","20190409092800","940028","940028"
"000006","1",3,"20190307074217","20190409092800","940028","940028"
"000010","1",5,"20190409093300","20190409093300","940028","940028"
"000011","1",2,"20190425081235","20190425081310","940028","940028"
"000012","1",4,"20190425081310","20190425081310","940028","940028"
"000013","1",6,"20190425081342","20190425081342","940028","940028"
