var_nam,appl_id,frm_id,addon_id,srt_seq,cust_lvl,lkp_id,ena_flg,ret_fld,inp_fld,mult_flg,grp_nam
"lblIfdVer","LES","ctldwnldviewer","SEAMLES",0,0,"l_in_ifd_ver",1,"","",1,"int_data"
"lblseq_fld","LES","LES","LES",0,0,"l_lblseq_fld",1,"lblseq_fld=column_name","",1,"dcs_data"
"lblSts","LES","ctldwnldquery","SEAMLES",0,0,"l_dwnld_sts",1,"","",1,"int_data"
"lblSts","LES","ctldwnldviewer","SEAMLES",0,0,"l_dwnld_sts",1,"","",1,"int_data"
"lefo_ord_by_abs","LES","LES","LES",0,0,"l_orderby_clause",1,"","",0,"dcs_data"
"lefo_order_by","LES","LES","LES",0,0,"l_orderby_clause",1,"","",0,"dcs_data"
"les_cmd_id","LES","AVARULCFGMNT","LES",0,0,"NONE",0,"","",1,"sal_data"
"les_cmd_id","LES","LES","LES",1,0,"l_les_cmd_id",1,"","",1,"mcs_data"
"lifo_ord_by_abs","LES","LES","LES",0,0,"l_orderby_clause",1,"","",0,"dcs_data"
"lifo_order_by","LES","LES","LES",0,0,"l_orderby_clause",1,"","",0,"dcs_data"
"link_dda_id","LES","LES","LES",0,0,"l_link_dda_id",1,"link_dda_id=dda_id","dda_id=link_dda_id",1,"mcs_data"
"list_id","LES","LES","LES",0,0,"l_list_id",1,"","",1,"dcs_data"
"list_id","LES","WMD-PCKLSTHDRDSP","LES",0,0,"NONE",0,"","",1,"dcs_data"
"lkp_id","LES","LES","LES",1,0,"l_lkp_id",1,"","",1,"mcs_data"
"lkp_id","LkpIdMnt","LkpIdMnt","LES",1,0,"l_lkp_id",0,"","",1,"mcs_data"
"lms_assign_num","LES","LES","LES",0,0,"l_lmsasn",1,"wkonum,client_id,wkorev","wkonum,client_id,wkorev",1,"dcs_data"
"loc_id","LES","LES","LES",0,0,"l_loc_id",1,"loc_id","lngdsc",1,"dcs_data"
"loc_ord_by","LES","LES","LES",0,0,"l_orderby_clause",1,"","",0,"dcs_data"
"loc_typ_id","LES","prdlinmnt","LES",0,0,"l_loc_typ_proc",1,"","",0,"dcs_data"
"locale_id","LES","LES","LES",0,0,"l_locale_id",1,"","",1,"sal_data"
"locale_id","LES","SALLocaleMnt","LES",0,0,"NONE",1,"","",1,"mcs_data"
"lodnum","dcsrdt","LOAD_LTL_TRLR_DEPOSIT","LES",0,0,"r_lodnum_deposit",1,"","",1,"dcs_rdt"
"lodnum","dcsrdt","LOAD_PICKUP","LES",0,0,"r_lodnum_lpck",1,"","",1,"dcs_rdt"
"lodnum","dcsrdt","LOAD_TRLR","LES",0,0,"r_lodnum_loadtrlr",1,"","",1,"dcs_rdt"
"lodnum","dcsrdt","LOAD_TRLR_DEPOSIT","LES",0,0,"r_lodnum_deposit",1,"","",1,"dcs_rdt"
"lodnum","dcsrdt","PICKUP_A","LES",0,0,"r_lodnum",1,"","",1,"dcs_rdt"
