pcklst_select_cri_id,pcklst_rule_id,seqnum,log_opr,table_nam,field_name,operator,value,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
1,1,1,"","pck_zone","pck_zone_cod","=","L201-P-01","20200325164258","20200325164258","938673","938673",0
7,3,1,"","pck_zone","pck_zone_cod","=","A001-P-01","20211110113043","20211110113043","940409","940409",0
16,60,1,"","pck_zone","pck_zone_cod","=","R001-P-01","20230608152119","20230608152119","938673","938673",0
17,60,2,"AND","","","","","20230608152119","20230608152119","938673","938673",0
18,60,3,"","pcklst","pcklst_rule_id","=","44","20230608152119","20230608152119","938673","938673",0
19,60,4,"AND","","","","","20230608152119","20230608152119","938673","938673",0
20,60,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_R_ZONE","20230608152119","20230608152119","938673","938673",0
21,59,1,"","pck_zone","pck_zone_cod","=","P001-P-01","20230609081636","20230609081636","938673","938673",0
22,59,2,"AND","","","","","20230609081636","20230609081636","938673","938673",0
23,59,3,"","pcklst","pcklst_rule_id","=","43","20230609081636","20230609081636","938673","938673",0
24,59,4,"AND","","","","","20230609081636","20230609081636","938673","938673",0
25,59,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_P_ZONE","20230609081636","20230609081636","938673","938673",0
26,58,1,"","pck_zone","pck_zone_cod","=","L201-P-01","20230609081722","20230609081722","938673","938673",0
27,58,2,"AND","","","","","20230609081722","20230609081722","938673","938673",0
28,58,3,"","pcklst","pcklst_rule_id","=","42","20230609081722","20230609081722","938673","938673",0
29,58,4,"AND","","","","","20230609081722","20230609081722","938673","938673",0
30,58,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_L_ZONE","20230609081722","20230609081722","938673","938673",0
31,57,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20230609081751","20230609081751","938673","938673",0
32,57,2,"AND","","","","","20230609081751","20230609081751","938673","938673",0
33,57,3,"","pcklst","pcklst_rule_id","=","41","20230609081751","20230609081751","938673","938673",0
34,57,4,"AND","","","","","20230609081751","20230609081751","938673","938673",0
35,57,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_E_ZONE","20230609081751","20230609081751","938673","938673",0
36,56,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20230609081816","20230609081816","938673","938673",0
37,56,2,"AND","","","","","20230609081816","20230609081816","938673","938673",0
38,56,3,"","pcklst","pcklst_rule_id","=","40","20230609081816","20230609081816","938673","938673",0
39,56,4,"AND","","","","","20230609081816","20230609081816","938673","938673",0
40,56,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_D_ZONE","20230609081816","20230609081816","938673","938673",0
41,55,1,"","pck_zone","pck_zone_cod","=","C001-P-01","20230609081852","20230609081852","938673","938673",0
42,55,2,"AND","","","","","20230609081852","20230609081852","938673","938673",0
43,55,3,"","pcklst","pcklst_rule_id","=","39","20230609081852","20230609081852","938673","938673",0
44,55,4,"AND","","","","","20230609081852","20230609081852","938673","938673",0
45,55,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_C_ZONE","20230609081852","20230609081852","938673","938673",0
46,54,1,"","pck_zone","pck_zone_cod","=","B001-P-01","20230609081916","20230609081916","938673","938673",0
47,54,2,"AND","","","","","20230609081916","20230609081916","938673","938673",0
48,54,3,"","pcklst","pcklst_rule_id","=","38","20230609081916","20230609081916","938673","938673",0
49,54,4,"AND","","","","","20230609081916","20230609081916","938673","938673",0
50,54,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_B_ZONE","20230609081916","20230609081916","938673","938673",0
60,2,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20220418173408","20220418173408","939370","939370",0
64,6,1,"","pck_zone","pck_zone_cod","=","D001-P-02","20220418174218","20220418174218","939370","939370",0
66,7,1,"","pck_zone","pck_zone_cod","=","B001-P-01","20220418175127","20220418175127","939370","939370",0
68,8,1,"","pck_zone","pck_zone_cod","=","B001-P-02","20220418175253","20220418175253","939370","939370",0
70,9,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20220418175422","20220418175422","939370","939370",0
71,53,1,"","pck_zone","pck_zone_cod","=","A001-P-01","20230609084124","20230609084124","938673","938673",0
72,53,2,"AND","","","","","20230609084124","20230609084124","938673","938673",0
73,53,3,"","pcklst","pcklst_rule_id","=","37","20230609084125","20230609084125","938673","938673",0
74,53,4,"AND","","","","","20230609084125","20230609084125","938673","938673",0
75,53,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_A_ZONE","20230609084125","20230609084125","938673","938673",0
