alloc_search_path_id,wh_id,srtseq,search_path_typ,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"10002","2",1,"PICK","20200323180350","20200512090250","939161","938673"
"10003","2",2,"PICK","20200323180355","20200323180355","939161","939161"
"10004","2",1,"RPL","20230310124154","20230314212451","939370","939370"
