uc_delivery_id,wh_id,dst_mov_zone_id,seqnum,stoloc,uc_multi_drop,frstol,ins_dt,last_upd_dt,last_upd_user_id
-1,"7",-1,1,"H-003-01",1,"E-002-01","20200415152553","20200415152553","938673"
-1,"7",-1,2,"H-003-01",1,"E-002-02","20200415152553","20200415152553","938673"
-1,"7",-1,3,"N-003-01",1,"E-002-03","20200415152553","20200415152553","938673"
-1,"7",-1,4,"G-003-01",1,"E-002-04","20200415152553","20200415152553","938673"
-1,"7",-1,5,"G-003-01",1,"E-002-05","20200415152553","20200415152553","938673"
-1,"7",-1,6,"G-003-01",1,"E-002-06","20200415152553","20200415152553","938673"
-1,"7",-1,7,"D-003-01",1,"E-002-07","20200415152553","20200415152553","938673"
-1,"7",-1,8,"D-003-01",1,"E-002-08","20200415152553","20200415152553","938673"
-1,"7",-1,9,"H-003-01",1,"E-002-09","20200415152553","20200415152553","938673"
-1,"7",-1,10,"H-003-01",1,"E-002-10","20200415152553","20200415152553","938673"
-1,"7",-1,11,"H-003-01",1,"E-002-11","20200415152553","20200415152553","938673"
-1,"7",-1,12,"H-003-01",1,"E-002-12","20200415152553","20200415152553","938673"
-1,"7",-1,13,"G-003-01",1,"E-002-13","20200415152553","20200415152553","938673"
-1,"7",-1,14,"G-003-01",1,"E-002-14","20200415152553","20200415152553","938673"
-1,"7",-1,15,"G-003-01",1,"E-002-15","20200415152553","20200415152553","938673"
-1,"7",-1,16,"H-003-01",1,"E-002-16","20200415152553","20200415152553","938673"
-1,"7",-1,17,"H-003-01",1,"E-002-17","20200415152553","20200415152553","938673"
-1,"7",-1,18,"H-003-01",1,"E-002-18","20200415152553","20200415152553","938673"
-1,"7",-1,19,"K3-003-01",1,"E-002-19","20200415152553","20200415152553","938673"
-1,"7",-1,20,"K3-003-01",1,"E-002-20","20200415152553","20200415152553","938673"
-1,"7",-1,21,"K3-003-01",1,"E-002-21","20200415152553","20200415152553","938673"
-1,"7",-1,22,"L-003-01",1,"E-002-22","20200415152553","20200415152553","938673"
-1,"7",-1,23,"L-003-01",1,"E-002-23","20200415152553","20200415152553","938673"
-1,"7",-1,24,"M-003-01",1,"E-002-24","20200415152553","20200415152553","938673"
-1,"7",-1,25,"M-003-01",1,"E-002-25","20200415152553","20200415152553","938673"
-1,"7",-1,26,"M-003-01",1,"E-002-26","20200415152553","20200415152553","938673"
-1,"7",-1,27,"H-003-02",1,"E-002-27","20200415152553","20200415152553","938673"
-1,"7",-1,28,"H-003-02",1,"E-002-28","20200415152553","20200415152553","938673"
-1,"7",-1,29,"H-003-02",1,"H-002-01","20200415152553","20200415152553","938673"
-1,"7",-1,30,"H-003-01",1,"H-003-01","20200415152553","20200415152553","938673"
-1,"7",-1,31,"N-003-01",1,"N-003-01","20200415152553","20200415152553","938673"
-1,"7",-1,32,"G-003-01",1,"G-003-01","20200415152553","20200415152553","938673"
-1,"7",-1,33,"D-003-01",1,"D-003-01","20200415152553","20200415152553","938673"
-1,"7",-1,34,"K3-003-01",1,"K3-003-01","20200415152553","20200415152553","938673"
-1,"7",-1,35,"L-003-01",1,"L-003-01","20200415152553","20200415152553","938673"
-1,"7",-1,36,"M-003-01",1,"M-003-01","20200415152553","20200415152553","938673"
-1,"7",-1,37,"H-003-02",1,"H-003-02","20200415152553","20200415152553","938673"
1000,"7",10120,1,"H-002-01",0,"","20200415152553","20200415152553","938673"
1001,"7",10120,1,"E-002-01",0,"","20200415152553","20200415152553","938673"
1001,"7",10120,2,"E-002-02",0,"","20200415152553","20200415152553","938673"
1001,"7",10120,3,"E-002-09",0,"","20200415152553","20200415152553","938673"
1001,"7",10120,4,"E-002-27",0,"","20200415152553","20200415152553","938673"
1001,"7",10120,5,"H-002-01",0,"","20200415152553","20200415152553","938673"
1002,"7",10120,1,"E-002-18",0,"","20200415152553","20200415152553","938673"
1002,"7",10120,2,"E-002-09",0,"","20200415152553","20200415152553","938673"
1002,"7",10120,3,"E-002-27",0,"","20200415152553","20200415152553","938673"
1002,"7",10120,4,"H-002-01",0,"","20200415152553","20200415152553","938673"
1003,"7",10120,1,"E-002-17",0,"","20200415152553","20200415152553","938673"
1003,"7",10120,2,"E-002-09",0,"","20200415152553","20200415152553","938673"
1003,"7",10120,3,"E-002-27",0,"","20200415152553","20200415152553","938673"
1003,"7",10120,4,"H-002-01",0,"","20200415152553","20200415152553","938673"
1004,"7",10120,1,"E-002-12",0,"","20200415152553","20200415152553","938673"
1004,"7",10120,2,"E-002-11",0,"","20200415152553","20200415152553","938673"
1004,"7",10120,3,"E-002-10",0,"","20200415152553","20200415152553","938673"
1004,"7",10120,4,"E-002-09",0,"","20200415152553","20200415152553","938673"
1004,"7",10120,5,"E-002-27",0,"","20200415152553","20200415152553","938673"
1004,"7",10120,6,"H-002-01",0,"","20200415152553","20200415152553","938673"
1005,"7",10120,1,"E-002-16",0,"","20200415152553","20200415152553","938673"
1005,"7",10120,2,"E-002-09",0,"","20200415152553","20200415152553","938673"
1005,"7",10120,3,"E-002-27",0,"","20200415152553","20200415152553","938673"
1005,"7",10120,4,"H-002-01",0,"","20200415152553","20200415152553","938673"
1006,"7",10120,1,"E-002-03",0,"","20200415152553","20200415152553","938673"
1006,"7",10120,2,"E-002-27",0,"","20200415152553","20200415152553","938673"
1006,"7",10120,3,"H-002-01",0,"","20200415152553","20200415152553","938673"
1007,"7",10120,1,"E-002-28",0,"","20200415152553","20200415152553","938673"
1008,"7",10120,1,"E-002-04",0,"","20200415152553","20200415152553","938673"
1008,"7",10120,2,"E-002-06",0,"","20200415152553","20200415152553","938673"
1008,"7",10120,3,"E-002-27",0,"","20200415152553","20200415152553","938673"
1008,"7",10120,4,"H-002-01",0,"","20200415152553","20200415152553","938673"
1009,"7",10120,1,"E-002-05",0,"","20200415152553","20200415152553","938673"
1009,"7",10120,2,"E-002-06",0,"","20200415152553","20200415152553","938673"
1009,"7",10120,3,"E-002-27",0,"","20200415152553","20200415152553","938673"
1009,"7",10120,4,"H-002-01",0,"","20200415152553","20200415152553","938673"
1010,"7",10120,1,"E-002-06",0,"","20200415152553","20200415152553","938673"
1010,"7",10120,2,"E-002-27",0,"","20200415152553","20200415152553","938673"
1010,"7",10120,3,"H-002-01",0,"","20200415152553","20200415152553","938673"
1011,"7",10120,1,"E-002-14",0,"","20200415152553","20200415152553","938673"
1011,"7",10120,2,"E-002-13",0,"","20200415152553","20200415152553","938673"
1011,"7",10120,3,"E-002-15",0,"","20200415152553","20200415152553","938673"
1011,"7",10120,4,"E-002-27",0,"","20200415152553","20200415152553","938673"
1011,"7",10120,5,"H-002-01",0,"","20200415152553","20200415152553","938673"
1012,"7",10120,1,"E-002-07",0,"","20200415152553","20200415152553","938673"
1012,"7",10120,2,"E-002-08",0,"","20200415152553","20200415152553","938673"
1012,"7",10120,3,"E-002-27",0,"","20200415152553","20200415152553","938673"
1012,"7",10120,4,"H-002-01",0,"","20200415152553","20200415152553","938673"
1013,"7",10120,1,"E-002-19",0,"","20200415152553","20200415152553","938673"
1013,"7",10120,2,"E-002-21",0,"","20200415152553","20200415152553","938673"
1013,"7",10120,3,"E-002-27",0,"","20200415152553","20200415152553","938673"
1013,"7",10120,4,"H-002-01",0,"","20200415152553","20200415152553","938673"
1014,"7",10120,1,"E-002-21",0,"","20200415152553","20200415152553","938673"
1014,"7",10120,2,"E-002-19",0,"","20200415152553","20200415152553","938673"
1014,"7",10120,3,"E-002-27",0,"","20200415152553","20200415152553","938673"
1014,"7",10120,4,"H-002-01",0,"","20200415152553","20200415152553","938673"
1015,"7",10120,1,"E-002-23",0,"","20200415152553","20200415152553","938673"
1015,"7",10120,2,"E-002-22",0,"","20200415152553","20200415152553","938673"
1015,"7",10120,3,"E-002-27",0,"","20200415152553","20200415152553","938673"
1015,"7",10120,4,"H-002-01",0,"","20200415152553","20200415152553","938673"
1016,"7",10120,1,"E-002-22",0,"","20200415152553","20200415152553","938673"
1016,"7",10120,2,"E-002-23",0,"","20200415152553","20200415152553","938673"
