esc_seq,oprcod,wh_id_tmpl,ordtyp,ship_date_win,wrk_esc_pri,ins_dt,ins_user_id,moddte,mod_usr_id
"0000001","LPCK","2","----",150,90,"20210308132649","","20210308132649","938673"
"0000002","LPCK","2","31",30,100,"20210308132649","","20210308132649","938673"
"0000003","LPCK","2","----",75,80,"20210308132649","","20210308132649","938673"
"0000004","LPCK","2","----",35,69,"20220221152426","","20220221152426","939370"
"0000004","LPCK","2","34",60,60,"20210308132649","","20210308132649","938673"
"0000005","LPCK","2","----",25,68,"20220221152426","","20220221152426","939370"
"0000005","LPCK","2","34",45,50,"20210308132649","","20210308132649","938673"
"0000006","LPCK","2","----",45,70,"20210308132649","","20210308132649","938673"
"0000007","LPCK","2","----",5,66,"20220221152427","","20220221152427","939370"
"0000008","LPCK","2","----",1,65,"20220221152427","","20220221152427","939370"
"0000014","LPCK","2","----",15,67,"20220221152656","","20220221152656","939370"
"0000013","PALMOV","2","31",30,91,"20210412171852","","20210412171852","939370"
"0000014","PALMOV","2","----",150,80,"20210412171852","","20210412171852","939370"
"0000015","PALMOV","2","34",60,50,"20210412171852","","20210412171852","939370"
"0000016","PALMOV","2","----",75,71,"20210412171852","","20210412171852","939370"
"0000017","PALMOV","2","----",45,70,"20210412171852","","20220221152900","939370"
"0000018","PALMOV","2","----",25,68,"20220221152900","","20220221152900","939370"
"0000018","PALMOV","2","34",45,40,"20210412171852","","20210412171852","939370"
"0000019","PALMOV","2","----",15,67,"20220221152900","","20220221152900","939370"
"0000020","PALMOV","2","----",5,66,"20220221152900","","20220221152900","939370"
"0000021","PALMOV","2","----",1,65,"20220221152900","","20220221152900","939370"
"0000022","PALMOV","2","----",35,69,"20220221152937","","20220221152937","939370"
"0000007","PCK","2","31",30,91,"20210308132649","","20210308132649","938673"
"0000008","PCK","2","----",150,80,"20210308132649","","20210308132649","938673"
"0000009","PCK","2","----",35,69,"20220221152612","","20220221152612","939370"
"0000009","PCK","2","34",60,50,"20210308132649","","20210308132649","938673"
"0000010","PCK","2","----",75,71,"20210308132649","","20210308132649","938673"
"0000011","PCK","2","----",45,70,"20210308132649","","20220221152612","939370"
"0000012","PCK","2","----",5,66,"20220221152612","","20220221152612","939370"
"0000012","PCK","2","34",45,40,"20210308132649","","20210308132649","938673"
"0000013","PCK","2","----",1,65,"20220221152612","","20220221152612","939370"
"0000015","PCK","2","----",25,68,"20220221152753","","20220221152753","939370"
"0000016","PCK","2","----",15,67,"20220221152753","","20220221152753","939370"
