serv_id,wh_id,seqnum,mixed_prt_flg,spec_serv_cod,serv_enaflg,lodlvl,moddte,mod_usr_id,audit_thresh_cost,crncy_code,accum_flg
"CMPL-LBL-DOCS","1",0,0,"",1,"","20180920101906","939370",0.0,"",0
"USR-AUTO-LOAD-SHP","1",2,0,"",0,"","20181003160030","938673",0.0,"",0
"USR-COPY-HOLDNUM","1",13,0,"",1,"","20190311085636","940028",0.0,"",0
"USR-CRT-STOPS-LOADS","1",1,0,"",1,"","20181014212635","939370",0.0,"",0
"USR-PRINT-PACKSLIP","1",2,1,"",1,"L","20200723142824","939370",0.0,"",0
"USR-PRINT-WO","1",1,0,"",1,"","20230405195134","938673",0.0,"",0
"USR-SEND-ASSET-IF","1",8,0,"",1,"","20190211123336","940028",0.0,"",0
"USR-SEND-HOLD-IF","1",7,0,"",1,"","20190211123228","940028",0.0,"",0
"USR-SEND-LODATT-IF","1",10,0,"",1,"","20190211123600","940028",0.0,"",0
"USR-SEND-RELABEL-IF","1",6,0,"",1,"","20190211123200","940028",0.0,"",0
"USR-SEND-STATUS","1",4,0,"",1,"","20200723144112","939370",0.0,"",0
"USR-VAS_INV_ONLY","1",1,1,"",1,"S","20230210000000","938673",0.0,"",0
"USR-VAS_LPN_PACK","1",8,1,"",1,"L","20230210000000","938673",0.0,"",0
"USR-VAS_LPN_PICK","1",0,1,"",1,"L","20230210000000","938673",0.0,"",0
"USR-VAS_PACK","1",4,1,"",1,"S","20230210000000","938673",0.0,"",0
"USR-VAS_PACK_CNFRM","1",6,1,"",1,"S","20230210000000","938673",0.0,"",0
"USR-VAS_PICK","1",3,1,"",1,"S","20230210000000","938673",0.0,"",0
"USR-VAS_PICK_CNFRM","1",5,1,"",1,"S","20230210000000","938673",0.0,"",0
"USR-WO_PROD_LPN_PACK","1",0,1,"",0,"L","20230315105443","938673",0.0,"",0
"USR-WO_PROD_VAS_CFRM","1",1,0,"",1,"","20230315104923","938673",0.0,"",0
"USR-WO_PROD_VAS_ONLY","1",3,0,"",1,"","20230713161846","938673",0.0,"",0
"USR-WO_PROD_VAS_PACK","1",2,0,"",1,"","20230315104927","938673",0.0,"",0
"USR-WO_VAS_INV_ONLY","1",1,0,"",1,"L","20230713192901","938673",0.0,"",0
