gln,wh_id,stoloc,ins_dt,ins_user_id,last_upd_dt,last_upd_user_id
"5398888520976","2","N10-002-01","20220725161924","939370","20230210161817","939370"
"8032817450008","2","N20-002-01","20220725161924","939370","20230210161817","939370"
"8713783219317","2","O1-002-01","20220725161924","939370","20230210161818","939370"
"8713783220788","2","O1-002-01","20220725161924","939370","20230210161818","939370"
"8713783228838","2","O1-002-01","20220725161924","939370","20230210161818","939370"
"8713783228876","2","J3-002-01","20220725161924","939370","20230210161818","939370"
"8713783228913","2","O1-002-01","20220725161924","939370","20230210161818","939370"
"8713783229019","2","N20-002-01","20220725161924","939370","20230210161817","939370"
"8713783229101","2","O1-002-01","20220725161924","939370","20230210161818","939370"
"8713783229163","2","O1-002-01","20220725161924","939370","20230210161818","939370"
"8713783229194","2","S1-002-01","20220725161924","939370","20230210161818","939370"
"8713783229217","2","N10-002-01","20230210161817","939370","20230210161817","939370"
"8713783229255","2","S1-002-01","20220725161924","939370","20230210161818","939370"
"8713783229262","2","N10-002-01","20220725161924","939370","20230210161817","939370"
"8713783229279","2","S1-002-01","20220725161924","939370","20230210161818","939370"
"8713783229293","2","O1-002-01","20220725161924","939370","20230210161818","939370"
"8713783229453","2","O1-002-01","20230210161818","939370","20230210161818","939370"
"8713783229613","2","J3-002-01","20220725161924","939370","20230210161818","939370"
"8713783229729","2","O1-002-01","20220725161924","939370","20230210161818","939370"
"8713783229873","2","S1-002-01","20220725161924","939370","20230210161818","939370"
"8713783229927","2","N10-002-02","20220725161924","939370","20230210161817","939370"
"8713783230053","2","N10-002-01","20220725161924","939370","20230210161817","939370"
"8713783230206","2","N20-002-02","20220725161924","939370","20230210161817","939370"
"8713783230213","2","N20-002-01","20220725161924","939370","20230210161817","939370"
"8713783230237","2","N20-002-02","20220725161924","939370","20230210161817","939370"
"8713783230312","2","O1-002-01","20220725161924","939370","20230210161818","939370"
"8713783230336","2","O1-002-01","20220725161924","939370","20230210161818","939370"
"8713783230398","2","J3-002-01","20220725161924","939370","20230210161818","939370"
"8713783230428","2","J3-002-01","20220725161924","939370","20230210161818","939370"
"8713783230664","2","N10-002-01","20230210161818","939370","20230210161818","939370"
"8713783230855","2","O1-002-01","20220725161924","939370","20230210161818","939370"
"8713783242346","2","O1-002-01","20220725161924","939370","20230210161818","939370"
