wrk_zone_id,wrkzon,wh_id,bldg_id,wrkare,maxdev,oosflg,trvseq,prithr,maxprithr,pck_exp_are,moddte,mod_usr_id,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
10000,"99","2","B1","WLOGICAL",0,0,0,0,0,"","20180730083432","938673",1,"20180730083432","20180730083432","938673","938673"
10001,"WZ-1-W006","2","B1","WA-1-001",99,0,10,15,30,"","20200609161752","939161",5,"20180827123312","20200609161752","940028","939161"
10002,"WZ-1-W104","2","B1","WA-2-001",99,0,10,15,30,"","20200609161752","939161",5,"20180919140627","20200609161752","940028","939161"
10003,"WZ-2-A104","2","B1","WA-2-002",99,0,10,15,30,"","20201001142438","939370",1,"20201001142438","20201001142438","939370","939370"
10004,"WZ-3-A103","2","B1","WA-3-001",99,0,10,15,30,"","20201001142626","939370",1,"20201001142626","20201001142626","939370","939370"
10005,"WZ-2-A101","2","B1","WA-2-003",99,0,10,15,30,"","20210826100000","939161",1,"20210826100000","20210826100000","939161","939161"
10006,"WZ-2-A102","2","B1","WA-2-004",99,0,10,15,30,"","20210826100000","939161",1,"20210826100000","20210826100000","939161","939161"
10007,"WZ-2-A001","2","B1","WA-2-005",99,0,10,15,30,"","20220208125351","940788",3,"20220125083229","20220208125351","940788","940788"
10008,"WZ-2-A002","2","B1","WA-2-005",99,0,10,15,30,"","20220208125427","940788",3,"20220125084146","20220208125427","940788","940788"
10009,"WZ-2-A004","2","B1","WA-2-006",99,0,10,15,30,"","20220208125452","940788",3,"20220125085507","20220208125452","940788","940788"
10010,"WZ-2-A005","2","B1","WA-2-007",99,0,10,15,30,"","20220208125512","940788",3,"20220125085607","20220208125512","940788","940788"
10011,"WZ-2-A006","2","B1","WA-2-011",99,0,10,15,30,"","20220209111148","940788",3,"20220125090124","20220209111148","940788","940788"
10012,"WZ-2-A007","2","B1","WA-2-008",99,0,10,15,30,"","20220208130224","940788",4,"20220125090923","20220208130224","940788","940788"
10013,"WZ-2-A107","2","B1","WA-2-009",99,0,10,15,30,"","20220208133506","940788",3,"20220125091333","20220208133506","940788","940788"
10014,"WZ-2-A003","2","B1","WA-2-010",99,0,10,15,30,"","20220208125438","940788",2,"20220126134933","20220208125438","940788","940788"
10015,"WZ-2-P010","2","B1","WA-2-012",99,0,10,15,30,"","20220511115244","939370",1,"20220511115244","20220511115244","939370","939370"
10016,"WZ-2-P011","2","B1","WA-2-013",99,0,10,15,30,"","20220511115307","939370",1,"20220511115307","20220511115307","939370","939370"
10017,"WZ-2-X011","2","B1","WA-2-014",99,0,10,15,30,"","20220511115338","939370",1,"20220511115338","20220511115338","939370","939370"
10018,"WZ-2-P012","2","B1","WA-2-015",99,0,10,15,30,"","20220511115420","939370",1,"20220511115420","20220511115420","939370","939370"
10019,"WZ-2-P013","2","B1","WA-2-016",99,0,10,15,30,"","20220511115447","939370",1,"20220511115447","20220511115447","939370","939370"
10020,"WZ-2-P019-1","2","B1","WA-2-017",99,0,10,15,30,"","20220601100000","940409",1,"20220601100000","20220601100000","940409","940409"
10021,"WZ-2-P019-2","2","B1","WA-2-018",99,0,10,15,30,"","20220601100000","940409",1,"20220601100000","20220601100000","940409","940409"
