uc_delivery_id,wh_id,dst_mov_zone_id,seqnum,stoloc,uc_multi_drop,frstol,ins_dt,last_upd_dt,last_upd_user_id
-1,"2",-1,61,"J0-001-01",1,"A102-002-01","20220729142854","20220729142854","939370"
-1,"2",-1,62,"J0-001-01",1,"A102-002-02","20220729142854","20220729142854","939370"
-1,"2",-1,63,"J0-001-01",1,"A102-002-03","20220729142854","20220729142854","939370"
-1,"2",-1,64,"J0-001-01",1,"A102-002-04","20220729142854","20220729142854","939370"
-1,"2",-1,65,"J0-001-01",1,"A102-002-05","20220729142854","20220729142854","939370"
-1,"2",-1,66,"J0-001-01",1,"A102-002-06","20220729142854","20220729142854","939370"
-1,"2",-1,67,"J0-001-01",1,"A102-002-07","20220729142854","20220729142854","939370"
-1,"2",-1,68,"J0-001-01",1,"A102-002-08","20220729142854","20220729142854","939370"
-1,"2",-1,69,"J0-001-01",1,"A102-002-09","20220729142854","20220729142854","939370"
-1,"2",-1,70,"J0-001-01",1,"A102-002-10","20220729142854","20220729142854","939370"
-1,"2",-1,71,"J0-001-01",1,"A102-002-11","20220729142854","20220729142854","939370"
-1,"2",-1,72,"J0-001-01",1,"A102-002-12","20220729142854","20220729142854","939370"
-1,"2",-1,73,"J0-001-01",1,"A102-002-13","20220729142854","20220729142854","939370"
-1,"2",-1,74,"J0-001-01",1,"A102-002-14","20220729142854","20220729142854","939370"
-1,"2",-1,75,"J0-001-01",1,"A102-002-15","20220729142854","20220729142854","939370"
-1,"2",-1,76,"J0-001-01",1,"A102-002-16","20220729142854","20220729142854","939370"
-1,"2",-1,77,"J0-001-01",1,"A102-002-17","20220729142854","20220729142854","939370"
-1,"2",-1,78,"J0-001-01",1,"A102-002-18","20220729142854","20220729142854","939370"
-1,"2",-1,79,"J0-001-01",1,"A102-002-19","20220729142854","20220729142854","939370"
-1,"2",-1,80,"J0-001-01",1,"A102-002-20","20220729142854","20220729142854","939370"
-1,"2",-1,81,"J0-001-01",1,"A103-001-01","20220729142854","20220729142854","939370"
-1,"2",-1,82,"J0-001-01",1,"A103-001-02","20220729142854","20220729142854","939370"
-1,"2",-1,83,"J0-001-01",1,"A103-001-03","20220729142854","20220729142854","939370"
-1,"2",-1,84,"J0-001-01",1,"A103-001-04","20220729142854","20220729142854","939370"
-1,"2",-1,85,"J0-001-01",1,"A103-001-05","20220729142854","20220729142854","939370"
-1,"2",-1,86,"J0-001-01",1,"A103-001-06","20220729142854","20220729142854","939370"
-1,"2",-1,87,"J0-001-01",1,"A103-001-07","20220729142854","20220729142854","939370"
-1,"2",-1,88,"J0-001-01",1,"A103-001-08","20220729142854","20220729142854","939370"
-1,"2",-1,89,"J0-001-01",1,"A103-001-09","20220729142854","20220729142854","939370"
-1,"2",-1,90,"J0-001-01",1,"A103-001-10","20220729142854","20220729142854","939370"
-1,"2",-1,91,"J0-001-01",1,"A103-001-11","20220729142854","20220729142854","939370"
-1,"2",-1,92,"J0-001-01",1,"A103-001-12","20220729142854","20220729142854","939370"
-1,"2",-1,93,"J0-001-01",1,"A103-001-13","20220729142854","20220729142854","939370"
-1,"2",-1,94,"J0-001-01",1,"A103-001-14","20220729142854","20220729142854","939370"
-1,"2",-1,95,"J0-001-01",1,"A103-001-15","20220729142854","20220729142854","939370"
-1,"2",-1,96,"J0-001-01",1,"A103-001-16","20220729142854","20220729142854","939370"
-1,"2",-1,97,"J0-001-01",1,"A103-001-17","20220729142854","20220729142854","939370"
-1,"2",-1,98,"J0-001-01",1,"A103-001-18","20220729142854","20220729142854","939370"
-1,"2",-1,99,"J0-001-01",1,"A103-001-19","20220729142854","20220729142854","939370"
-1,"2",-1,100,"J0-001-01",1,"A103-001-20","20220729142854","20220729142854","939370"
-1,"2",-1,101,"J0-001-02",1,"A107-003-01","20220729142854","20220729142854","939370"
-1,"2",-1,102,"J0-001-02",1,"A107-003-02","20220729142854","20220729142854","939370"
-1,"2",-1,103,"J0-001-02",1,"A107-003-03","20220729142854","20220729142854","939370"
-1,"2",-1,104,"J0-001-02",1,"A107-003-04","20220729142854","20220729142854","939370"
-1,"2",-1,105,"J0-001-02",1,"A107-003-05","20220729142854","20220729142854","939370"
-1,"2",-1,106,"J0-001-02",1,"A107-003-06","20220729142854","20220729142854","939370"
-1,"2",-1,107,"J0-001-02",1,"A107-003-07","20220729142854","20220729142854","939370"
-1,"2",-1,108,"J0-001-02",1,"A107-003-08","20220729142854","20220729142854","939370"
-1,"2",-1,109,"J0-001-02",1,"A107-003-09","20220729142854","20220729142854","939370"
-1,"2",-1,110,"J0-001-02",1,"A107-003-10","20220729142854","20220729142854","939370"
-1,"2",-1,111,"J0-001-02",1,"A107-003-11","20220729142854","20220729142854","939370"
-1,"2",-1,112,"J0-001-02",1,"A107-003-12","20220729142854","20220729142854","939370"
-1,"2",-1,113,"J0-001-02",1,"A107-003-13","20220729142854","20220729142854","939370"
-1,"2",-1,114,"J0-001-02",1,"A107-003-14","20220729142854","20220729142854","939370"
-1,"2",-1,115,"J0-001-02",1,"A107-003-15","20220729142854","20220729142854","939370"
-1,"2",-1,116,"J0-001-02",1,"A107-003-16","20220729142854","20220729142854","939370"
-1,"2",-1,117,"J0-001-02",1,"A107-003-17","20220729142854","20220729142854","939370"
-1,"2",-1,118,"J0-001-02",1,"A107-003-18","20220729142854","20220729142854","939370"
-1,"2",-1,119,"J0-001-02",1,"A107-003-19","20220729142854","20220729142854","939370"
-1,"2",-1,120,"J0-001-02",1,"A107-003-20","20220729142854","20220729142854","939370"
-1,"2",-1,121,"J0-001-01",1,"P019-003-01","20220729142854","20220729142854","939370"
-1,"2",-1,122,"J0-001-01",1,"P019-003-02","20220729142854","20220729142854","939370"
-1,"2",-1,123,"J0-001-01",1,"P019-003-03","20220729142854","20220729142854","939370"
-1,"2",-1,124,"J0-001-01",1,"P019-003-04","20220729142854","20220729142854","939370"
-1,"2",-1,125,"J0-001-01",1,"P019-003-05","20220729142854","20220729142854","939370"
-1,"2",-1,126,"J0-001-01",1,"P019-003-06","20220729142854","20220729142854","939370"
-1,"2",-1,127,"J0-001-01",1,"P019-003-07","20220729142854","20220729142854","939370"
-1,"2",-1,128,"J0-001-01",1,"P019-003-08","20220729142854","20220729142854","939370"
-1,"2",-1,129,"J0-001-01",1,"P019-003-09","20220729142854","20220729142854","939370"
-1,"2",-1,130,"J0-001-01",1,"P019-003-10","20220729142854","20220729142854","939370"
-1,"2",-1,131,"J0-001-01",1,"P019-003-11","20220729142854","20220729142854","939370"
-1,"2",-1,132,"J0-001-01",1,"P019-003-12","20220729142854","20220729142854","939370"
-1,"2",-1,133,"J0-001-01",1,"P019-003-13","20220729142854","20220729142854","939370"
-1,"2",-1,134,"J0-001-01",1,"P019-003-14","20220729142854","20220729142854","939370"
-1,"2",-1,135,"J0-001-01",1,"P019-003-15","20220729142854","20220729142854","939370"
-1,"2",-1,136,"J0-001-01",1,"P019-003-16","20220729142854","20220729142854","939370"
-1,"2",-1,137,"J0-001-01",1,"P019-003-17","20220729142854","20220729142854","939370"
-1,"2",-1,138,"J0-001-01",1,"P019-003-18","20220729142854","20220729142854","939370"
-1,"2",-1,139,"J0-001-01",1,"P019-003-19","20220729142854","20220729142854","939370"
-1,"2",-1,140,"J0-001-01",1,"P019-003-20","20220729142854","20220729142854","939370"
-1,"2",-1,141,"J0-001-01",1,"P010-003-01","20220729142854","20220729142854","939370"
-1,"2",-1,142,"J0-001-01",1,"P010-003-02","20220729142854","20220729142854","939370"
-1,"2",-1,143,"J0-001-01",1,"P010-003-03","20220729142854","20220729142854","939370"
-1,"2",-1,144,"J0-001-01",1,"P010-003-04","20220729142854","20220729142854","939370"
-1,"2",-1,145,"J0-001-01",1,"P010-003-05","20220729142854","20220729142854","939370"
-1,"2",-1,146,"J0-001-01",1,"P010-003-06","20220729142854","20220729142854","939370"
-1,"2",-1,147,"J0-001-01",1,"P010-003-07","20220729142854","20220729142854","939370"
-1,"2",-1,148,"J0-001-01",1,"P010-003-08","20220729142854","20220729142854","939370"
-1,"2",-1,149,"J0-001-01",1,"P010-003-09","20220729142854","20220729142854","939370"
-1,"2",-1,150,"J0-001-01",1,"P010-003-10","20220729142854","20220729142854","939370"
-1,"2",-1,151,"J0-001-01",1,"P010-003-11","20220729142854","20220729142854","939370"
-1,"2",-1,152,"J0-001-01",1,"P010-003-12","20220729142854","20220729142854","939370"
-1,"2",-1,153,"J0-001-01",1,"P010-003-13","20220729142854","20220729142854","939370"
-1,"2",-1,154,"J0-001-01",1,"P010-003-14","20220729142854","20220729142854","939370"
