serv_id,wh_id,exitpnt_typ,exitpnt,src_mov_zone_id,dst_mov_zone_id,moddte,mod_usr_id,is_purged
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10016,10000,"20191127100202","940028",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10016,10018,"20191127100202","940028",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10046,10000,"20220418122026","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10046,10038,"20220418122026","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10046,10039,"20220418122026","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10046,10064,"20220418122026","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10046,10066,"20220418122026","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10046,10068,"20220418122026","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10058,10000,"20191127100202","940028",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10058,10057,"20191127100202","940028",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10078,10000,"20221006152924","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10078,10073,"20221006152924","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10079,10000,"20221006152924","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10079,10075,"20221006152924","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10080,10000,"20221006152924","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10080,10077,"20221006152924","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10081,10000,"20221006152924","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10081,10074,"20221006152924","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10082,10000,"20221006152924","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10082,10076,"20221006152924","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10093,10000,"20231003093852","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10093,10092,"20231003093852","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10095,10000,"20231004134902","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10095,10094,"20231004134902","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10097,10000,"20231004151332","939370",0
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV",10097,10096,"20231004151332","939370",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10043,"20200928130904","939370",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10044,"20210719150108","939161",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10053,"20220426152454","939370",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10058,"20211001105520","940409",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10059,"20211001105520","940409",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10060,"20210930130050","940409",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10061,"20210930130050","940409",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10062,"20210930130050","940409",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10065,"20220426152500","939370",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10067,"20220426152505","939370",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10069,"20220426133352","939370",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10070,"20220426133358","939370",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10071,"20220426133410","939370",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10083,"20221006153145","939370",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10084,"20221006153145","939370",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10085,"20221006153145","939370",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10086,"20221006153145","939370",0
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10088,"20221006153145","939370",0
"USR-RES-NEXT-STEP","3","SERVICE-BACKGROUND","INVMOV",-10000,10061,"20221207151109","938673",0
"USR-RES-NEXT-STEP","3","SERVICE-BACKGROUND","INVMOV",-10000,10071,"20221207151109","938673",0
"USR-RES-NEXT-STEP","3","SERVICE-BACKGROUND","INVMOV",-10000,10086,"20230208085044","938673",0
"USR-RES-NEXT-STEP","3","SERVICE-BACKGROUND","INVMOV",-10000,10088,"20230208085044","938673",0
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",-10000,10062,"20210712100000","939161",0
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",10000,10047,"20210712100000","939161",0
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",10000,10048,"20210712100000","939161",0
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",10000,10049,"20210712100000","939161",0
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",10000,10050,"20210712100000","939161",0
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",10000,10051,"20210712100000","939161",0
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",10000,10052,"20210712100000","939161",0
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",10000,10055,"20210712100000","939161",0
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",10000,10059,"20210712100000","939161",0
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",10000,10061,"20220621164906","939370",0
