sto_zone_id,sto_zone_cod,bldg_id,wh_id,conflg,con_pal_flg,fifflg,pckcod,prox_put_cod,rnwl_sto_flg,set_locsts_flg,set_maxqvl_flg,vrt_stck_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,con_src_flg,is_purged
10000,"STOTRLR","B1","1",0,0,0,"M","",0,0,0,0,"20181023123941","20181023123941","SUPER","SUPER",0,0
10001,"H135-S-01","B1","1",0,0,0,"M","",0,0,1,0,"20181024140317","20181024140317","940028","940028",0,0
10002,"H007_H048-R-01","B1","1",0,0,0,"N","SRC",0,1,1,0,"20190306121248","20190403150009","940028","940028",0,0
10003,"H246_H267-R-01","B1","1",0,0,0,"N","SRC",0,1,1,0,"20190306121308","20190403150102","940028","940028",0,0
10004,"H007_H048-V-01","B1","1",0,0,0,"M","SRC",0,1,1,0,"20190306121409","20190403151255","940028","940028",0,0
10005,"H246_H267-V-01","B1","1",0,0,0,"M","SRC",0,1,1,0,"20190306121435","20190403151659","940028","940028",0,0
10009,"H135-EV-01","B1","1",0,0,0,"M","SRC",0,1,1,0,"20190306121714","20190306121714","940028","940028",0,0
10011,"H144_H157-R-01","B1","1",0,0,0,"N","SRC",0,1,1,0,"20190403144934","20190403145942","940028","940028",0,0
10012,"H144_H157-V-01","B1","1",0,0,0,"M","SRC",0,1,1,0,"20190403151402","20190403151402","940028","940028",0,0
10013,"H244-S-01","B1","1",0,0,0,"M","",0,0,1,0,"20221108185013","20221108185013","939370","939370",0,0
10014,"X244-S-01","B1","1",0,0,0,"M","",0,0,1,0,"20221108185013","20221108185013","939370","939370",0,0
10015,"H245-S-01","B1","1",0,0,0,"M","",0,0,1,0,"20221108185013","20221108185013","939370","939370",0,0
10016,"H135-S-02","B1","1",0,0,0,"M","",0,0,1,0,"20230130114833","20230130114833","939370","939370",0,0
10017,"H135-B-01","B1","1",0,0,0,"M","SRC",0,1,1,0,"20230315000000","20230315000000","938673","938673",0,0
10018,"H245-S-02","B1","1",0,0,0,"M","",0,0,1,0,"20230503171831","20230503171831","939370","939370",0,0
10019,"H255-S-01","B1","1",0,0,0,"M","",0,0,1,0,"20231016132925","20231016132925","939370","939370",0,0
